Gráfico 6.2,GRÁFICO 17 | Evolución de las tarifas del Sistema | 2012 - 2022,,,,,,,

,Mes,Buses,Metro / Tren Hora Punta,Metro / Tren Hora Valle,Metro /Tren Hora Baja,Estudiantes Ed. Media/Superior,Estudiantes Ed. Básica,Adulto Mayor Intermodal
,Jan-12,560,640,580,530,180,0,
,Feb-12,580,660,600,550,190,0,
,Mar-12,580,660,600,550,190,0,
,Apr-12,580,660,600,550,190,0,
,May-12,580,660,600,550,190,0,
,Jun-12,590,670,610,560,190,0,
,Jul-12,590,670,610,560,190,0,
,Aug-12,590,670,610,560,190,0,
,Sep-12,590,670,610,560,190,0,
,Oct-12,590,670,610,560,190,0,
,Nov-12,590,670,610,560,190,0,
,Dec-12,590,670,610,560,190,0,
,Jan-13,590,670,610,560,190,0,
,Feb-13,590,670,610,560,190,0,
,Mar-13,590,670,610,560,190,0,
,Apr-13,590,670,610,560,190,0,
,May-13,590,670,610,560,190,0,
,Jun-13,590,670,610,560,190,0,
,Jul-13,590,670,610,560,190,0,
,Aug-13,590,670,610,560,190,0,
,Sep-13,590,670,610,560,190,0,
,Oct-13,590,670,610,560,190,0,
,Nov-13,590,670,610,560,190,0,
,Dec-13,600,680,620,570,200,0,
,Jan-14,600,680,620,570,200,0,
,Feb-14,600,680,620,570,200,0,
,Mar-14,600,680,620,570,200,0,
,Apr-14,600,680,620,570,200,0,
,May-14,610,690,630,580,200,0,
,Jun-14,610,690,630,580,200,0,
,Jul-14,610,690,630,580,200,0,
,Aug-14,610,690,630,580,200,0,
,Sep-14,620,700,640,590,200,0,
,Oct-14,620,700,640,590,200,0,
,Nov-14,620,700,640,590,200,0,
,Dec-14,620,700,640,590,200,0,
,Jan-15,640,720,660,610,210,0,
,Feb-15,640,720,660,610,210,0,
,Mar-15,640,720,660,610,210,0,
,Apr-15,640,720,660,610,210,0,
,May-15,640,720,660,610,210,0,
,Jun-15,640,720,660,610,210,0,
,Jul-15,640,720,660,610,210,0,
,Aug-15,640,720,660,610,210,0,
,Sep-15,640,720,660,610,210,0,
,Oct-15,640,720,660,610,210,0,
,Nov-15,640,720,660,610,210,0,
,Dec-15,640,720,660,610,210,0,
,Jan-16,640,720,660,610,210,0,
,Feb-16,640,740,660,610,210,0,
,Mar-16,640,740,660,610,210,0,
,Apr-16,640,740,660,610,210,0,
,May-16,640,740,660,610,210,0,
,Jun-16,640,740,660,610,210,0,
,Jul-16,640,740,660,610,210,0,
,Aug-16,640,740,660,610,210,0,
,Sep-16,640,740,660,610,210,0,
,Oct-16,640,740,660,610,210,0,
,Nov-16,640,740,660,610,210,0,
,Dec-16,640,740,660,610,210,0,
,Jan-17,640,740,660,610,210,0,
,Feb-17,640,740,660,610,210,0,
,Mar-17,640,740,660,610,210,0,
,Apr-17,640,740,660,610,210,0,
,May-17,640,740,660,610,210,0,
,Jun-17,640,740,660,610,210,0,
,Jul-17,640,740,660,610,210,0,
,Aug-17,640,740,660,610,210,0,
,Sep-17,640,740,660,610,210,0,
,Oct-17,640,740,660,610,210,0,
,Nov-17,640,740,660,610,210,0,
,Dec-17,640,740,660,610,210,0,
,Jan-18,640,740,660,610,210,0,
,Feb-18,660,760,680,630,220,0,
,Mar-18,660,760,680,630,220,0,
,Apr-18,660,760,680,630,220,0,
,May-18,660,760,680,630,220,0,
,Jun-18,660,760,680,630,220,0,
,Jul-18,660,760,680,630,220,0,
,Aug-18,660,760,680,630,220,0,
,Sep-18,660,760,680,630,220,0,
,Oct-18,680,780,700,650,220,0,
,Nov-18,680,780,700,650,220,0,
,Dec-18,680,780,700,650,220,0,
,Jan-19,700,800,720,670,230,0,
,Feb-19,700,800,720,670,230,0,
,Mar-19,700,800,720,670,230,0,
,Apr-19,700,800,720,670,230,0,
,May-19,700,800,720,670,230,0,
,Jun-19,700,800,720,670,230,0,
,Aug-19,700,800,720,670,230,0,
,Sep-19,700,800,720,670,230,0,
,Oct-19,700,800,720,640,230,0,
,Nov-19,700,800,720,640,230,0,
,Dec-19,700,800,720,640,230,0,
,Jan-20,700,800,720,640,230,0,
,Feb-20,700,800,720,640,230,0,
,Mar-20,700,800,720,640,230,0,
,Apr-20,700,800,720,640,230,0,
,May-20,700,800,720,640,230,0,
,Jun-20,700,800,720,640,230,0,
,Jul-20,700,800,720,640,230,0,350
,Aug-20,700,800,720,640,230,0,350
,Sep-20,700,800,720,640,230,0,350
,Oct-20,700,800,720,640,230,0,350
,Nov-20,700,800,720,640,230,0,350
,Dec-20,700,800,720,640,230,0,350
,Jan-21,700,800,720,640,230,0,350
,Feb-21,700,800,720,640,230,0,350
,Mar-21,700,800,720,640,230,0,350
,Apr-21,700,800,720,640,230,0,350
,May-21,700,800,720,640,230,0,350
,Jun-21,700,800,720,640,230,0,350
,Jul-21,700,800,720,640,230,0,350
,Aug-21,700,800,720,640,230,0,350
,Sep-21,700,800,720,640,230,0,350
,Oct-21,700,800,720,640,230,0,350
,Nov-21,700,800,720,640,230,0,350
,Dec-21,700,800,720,640,230,0,350
,Jan-22,700,800,720,640,230,0,350
,Feb-22,700,800,720,640,230,0,350
,Mar-22,700,800,720,640,230,0,350
,Apr-22,700,800,720,640,230,0,350
,May-22,700,800,720,640,230,0,350
,Jun-22,700,800,720,640,230,0,350
,Jul-22,700,800,720,640,230,0,350
,Aug-22,700,800,720,640,230,0,350
,Sep-22,700,800,720,640,230,0,350
,Oct-22,700,800,720,640,230,0,350
,Nov-22,700,800,720,640,230,0,350
,Dec-22,700,800,720,640,230,0,350

,(*) Tren Alameda-Nos comenzo su operación el 17 de marzo 2017.,,,,,,,
